WindSpeed(m/s)
8.96
10.51
8.62
4.21
6.82
6.61
2.07
2.67
2.67
2.79
2.62
3.74
3.48
5.32
5.49
2.66
2.36
2.5
2.32
2.71
2.75
2.2
1.98
4.03
4.98
6.91
6.69
5.71
5.36
7.29
5.84
7.2
6.95
4.94
2.03
2.19
2.58
1.81
1.42
2.54
3.27
3.35
2.58
1.6
2.28
1.64
1.99
4.03
4.47
4.34
6.56
5.8
6.31
6.27
6.95
6.1
4.81
3.74
2.11
2.07
2.15
2.16
2.71
1.9
4.85
5.88
9.01
10.5
10.59
9.13
3.65
2.11
3.22
6.39
8.36
10.25
7.08
6.69
3.52
1.08
2.02
2.88
2.92
2.66
2.66
2.84
2.45
3.39
5.41
6.74
9.19
9.26
8.76
8.96
8.91
13.72
10.64
8.15
8.02
7.13
7.04
5.54
4.43
2.97
1.73
3.7
4.51
4.3
1.98
2.8
3.01
2.19
1.77
1.59
1.98
1.94
1.17
2.45
2.32
2.37
1.81
1.68
2.16
2.28
1.98
1.55
2.28
2.2
2.02
3.05
5.41
7.26
3.74
2.53
2.5
2.79
1.94
1.6
1.17
3.35
1.93
2.45
2.07
5.1
7.98
2.53
3.05
10.03
10.59
8.88
8.32
9.05
7.98
4.64
3.82
3.18
2.36
2.75
3.09
2.32
2.19
2.5
3.13
2.75
3.14
4.08
1.98
2.53
2.41
1.89
1.37
3.14
2.8
1.42
2.15
3.19
5.5
5.11
5.03
3.56
2.75
1.86
1.42
2.2
2.49
1.98
2.63
1.68
2.28
2.15
3.22
2.37
1.64
1.68
1.51
1.17
0.91
1.77
2.24
2.32
1.81
3.56
4.76
8.49
4.81
1.89
4.21
5.41
6.18
7.89
11.19
11.53
9.73
5.75
4.98
3.61
3.52
1.99
2.11
2.03
3.18
1.64
1.72
1.72
3.09
1.72
1.64
2.2
3.7
1.93
2.37
1.98
2.71
1.38
1.94
1.64
3.78
1.77
3.01
3.39
2.83
1.68
2.41
2.11
3.05
1.51
2.63
2.37
6.09
6.22
3.35
4.04
2.58
1.85
4.47
5.02
7
7.94
8.23
3.05
3.39
4.81
3.52
3.92
2.84
2.15
2.41
2.37
2.67
1.98
3.26
4.47
2.79
1.76
2.28
2.58
